run,leg,channel,unit,peak,rms,settled_rms
l1_6d_B,traj_both_back,CoM pos,mm,45.3091,21.0323,9.2394
l1_6d_B,traj_both_back,CoM vel,mm/s,40.1992,19.7107,21.4211
l1_6d_B,traj_both_back,attitude,deg,2.0461,0.8161,0.5717
l1_6d_B,traj_both_back,EE pos,mm,5.7368,4.6184,5.5209
l1_6d_B,traj_both_back,EE head,deg,13.0400,9.4834,11.8896
l1_6d_B,traj_both_back,joints,deg,13.0278,9.5730,12.0301
l1_6d_B,post_hold,CoM pos,mm,42.6543,19.9638,12.0396
l1_6d_B,post_hold,CoM vel,mm/s,35.6398,17.3052,11.7745
l1_6d_B,post_hold,attitude,deg,1.9444,0.8431,0.7325
l1_6d_B,post_hold,EE pos,mm,5.5391,4.6418,5.1641
l1_6d_B,post_hold,EE head,deg,12.6876,10.2468,12.4949
l1_6d_B,post_hold,joints,deg,12.7053,10.3410,12.6210
l1_4d_4d_wx0p25,step_x+,CoM pos,mm,187.2206,60.6911,18.3109
l1_4d_4d_wx0p25,step_x+,CoM vel,mm/s,283.0748,94.1424,30.5345
l1_4d_4d_wx0p25,step_x+,attitude,deg,4.7398,1.9461,0.5383
l1_4d_4d_wx0p25,step_x+,EE pos,mm,11.3433,5.9999,2.8929
l1_4d_4d_wx0p25,step_x+,EE head,deg,0.9849,0.6369,0.6592
l1_4d_4d_wx0p25,step_x+,joints,deg,4.3502,3.5020,1.7961
l1_4d_4d_wx0p25,step_x-,CoM pos,mm,238.4645,78.7756,32.7470
l1_4d_4d_wx0p25,step_x-,CoM vel,mm/s,330.2437,116.3049,34.2508
l1_4d_4d_wx0p25,step_x-,attitude,deg,6.8373,2.7124,0.8701
l1_4d_4d_wx0p25,step_x-,EE pos,mm,10.9250,5.1417,4.1759
l1_4d_4d_wx0p25,step_x-,EE head,deg,0.7288,0.3859,0.0521
l1_4d_4d_wx0p25,step_x-,joints,deg,2.3488,1.3638,2.2734
l1_4d_4d_wx0p25,step_y+,CoM pos,mm,227.0126,68.6431,2.9984
l1_4d_4d_wx0p25,step_y+,CoM vel,mm/s,309.5369,91.8051,6.5690
l1_4d_4d_wx0p25,step_y+,attitude,deg,5.5978,1.8999,0.1802
l1_4d_4d_wx0p25,step_y+,EE pos,mm,6.4034,3.6277,1.7847
l1_4d_4d_wx0p25,step_y+,EE head,deg,2.7349,0.9833,0.1056
l1_4d_4d_wx0p25,step_y+,joints,deg,2.5119,2.0429,1.0772
l1_4d_4d_wx0p25,step_y-,CoM pos,mm,190.0845,57.5885,4.2383
l1_4d_4d_wx0p25,step_y-,CoM vel,mm/s,267.5050,77.1323,6.7838
l1_4d_4d_wx0p25,step_y-,attitude,deg,4.7301,1.5109,0.2884
